Unnamed: 0,question,Intent
113,"Beberapa waktu lalu, aku sempat pacaran diam-diam, karena ibuku memang melarangku pacaran sejak SMA. Saat beliau tahu, handphone dan tabletnya langsung disita. Bahkan semua chat dan percakapanku dengan mantan dibaca habis oleh ibuku. Aku merasa benar-benar tidak punya ruang pribadi.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
114,"Aku marah, Kak. Tapi aku juga takut. Aku tahu ibuku ingin aku fokus kuliah, tapi aku juga merasa seperti tidak bisa jadi diri sendiri. Aku merasa terlalu dikekang.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
115,"Tidak, Kak. Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Takut dan Kecemasan
116,Aku juga ingin bisa menghindari konflik. Tapi aku merasa seperti selalu salah di mata ibuku.,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
117,"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat duluÂ",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
118,"Aku pusing banget, Kak. Aku merasa kayak nggak punya waktu buat diri sendiri. Aku kuliah, magang, terus masih harus ngurus organisasi juga. Aku nggak tahu lagi harus gimanaÂ Aku kepikiran buat keluar dari organisasi, tapi aku nggak yakin keputusan itu benar.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
119,IyaÂ Awalnya aku nggak niat jadi ketua. Nama aku cuma dicantumin biar ada pilihan lebih dari satu. Tapi tiba-tiba aku malah yang kepilih,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
120,"Awalnya biasa aja. Aku pikir bisa dijalanin. Tapi makin lama aku sadar kalau aku nggak punya cukup pengalaman, terus aku denger juga ada yang ngomongin aku di belakang. Katanya aku ketua yang nggak kerja.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
121,"IyaÂ padahal aku udah berusaha sebisa mungkin. Tapi tetap aja kayaknya aku kurang. Aku juga merasa alumni lebih mendukung kandidat lain waktu pemilihan dulu, jadi kayaknya mereka nggak suka aku dari awal",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan
122,"Awalnya aku pikir cuma perasaan, tapi lama-lama ada yang bilang kalau mereka memang lebih suka kandidat yang lain",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan
123,"Iya, KakÂ Aku jadi kepikiran terus, padahal aku juga udah capek sama kuliah dan kerja magang",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
124,"Magang itu sebenarnya lumayan membantu aku untuk biaya jajan, jadi aku nggak mau berhenti. Tapi jadinya aku harus pintar bagi waktu. Masalahnya, aku nggak bisa. Aku sering begadang, kurang tidur, bahkan pernah nggak tidur tiga hari.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
125,"Ya, tugas banyak banget. Ada tugas kuliah, terus harus nyiapin laporan buat magang, dan ada rapat organisasi. Aku ngerasa nggak bisa ninggalin salah satu, jadi akhirnya ya udah, begadang terus.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
126,"SeringÂ Aku kepikiran keluar dari organisasi, tapi aku takut. Takut dibilang gagal, takut kalau aku malah bikin repot orang lain kalau pergi sekarang, takut juga kalau aku benar-benar berhenti, malah makin nggak ada yang mendukung aku.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
127,Ayah akuÂ dia masuk penjara bulan ini karena kasus di kantornya. Itu juga bikin aku makin kepikiran.,Menyatakan Perasaan Sedih dan Kehilangan
128,"Iya, aku jadi ngerasa harus lebih mandiri, nggak bisa terus bergantung sama keluarga. Aku harus cari cara buat bertahan sendiri.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
129,"Ada sih beberapa teman, tapi aku nggak mau kelihatan lemah.",Menyatakan Perasaan Marah dan Frustasi
130,"Aku selalu kepikiran tentang apa yang orang lain pikirkan tentang aku. Kalau ada yang lihat aku sebentar aja, aku langsung mikirÂ Âapa mereka mikir aku aneh? Apa mereka nggak suka aku?Â Pokoknya overthinking terus.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
131,"Mungkin saat aku sedang bersama teman-teman atau di tempat umum. Aku sering merasa kalau mereka sedang menilai aku, terutama soal penampilan aku",Menyatakan Perasaan Takut dan Kecemasan
132,"IyaÂ aku tahu mungkin nggak semua orang benar-benar memperhatikan aku, tapi aku tetap nggak bisa menghilangkan pikiran itu.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan
133,"Iya, soalnya temanku sering cerita tentang masalah orang lain ke aku. Jadi aku kepikiran, gimana kalau dia juga cerita tentang aku ke orang lain?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan
134,"BelumÂ aku takut kalau aku ngomong, dia malah tersinggung dan jadi nggak mau temenan sama aku lagi.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
135,IyaÂ aku takut dibilang lebay atau nggak percaya sama dia.,Menyatakan Perasaan Takut dan Kecemasan
136,"IyaÂ aku ngerasa gemuk, jadi aku pengen kurusan. Tapi kata orang-orang, aku sebenarnya nggak gemuk.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
137,"YaÂ aku pengen ngerasa lebih percaya diri. Aku udah mulai diet, dan itu lumayan membantu aku ngerasa lebih baik.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
138,"Iya, Kak. Aku juga nggak mau terlalu ekstrim sihÂ cuma kadang masih kepikiran aja.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
139,YaÂ aku sering nunda-nunda. Ujung-ujungnya aku harus begadang buat ngerjain tugas mendekati deadline.,Menyatakan Perasaan Sedih dan Kehilangan
140,"Aku sudah mencoba beberapa kaliÂ sejak SMP. Aku nggak tahu kenapa, tapi rasanya aku nggak berguna dan lebih baik nggak ada saja.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
141,"Sepertinya karena aku merasa tidak dihargai. Dari dulu aku selalu merasa nggak cukup baik. Aku selalu dibandingkan, selalu dimarahi, dan aku merasa nggak pernah dianggapÂ.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
142,Tapi suara-suara ituÂ mereka nggak berhenti. Aku dengar suara bapak-bapak atau kadang ibu-ibu yang menyuruh aku untuk mati.,Menyatakan Perasaan Takut dan Kecemasan
143,"Iya, aku mau coba",Menyatakan Perasaan Percaya
144,"Aku masih ingat semuanyaÂ kejadian waktu aku TK, SD, bahkan SMP. Aku takut. Aku merasa kotor. Aku merasa seharusnya aku bilang ke orang lain, tapi aku takut dimarahi",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
145,"Tapi aku masih merasa takutÂ aku masih ingat gang itu, aku masih ingat wajahnya. Aku merasa kalau aku lewat tempat itu, aku seperti kembali ke masa itu.",Menyatakan Perasaan Takut dan Kecemasan
146,"Aku merasa apapun yang aku lakukan nggak pernah cukup. Aku juara kelas, tapi dibandingin sama anak orang lain. Aku mau masuk arsitektur, tapi dilarang. Aku ngerasa nggak punya kendali atas hidupku sendiri.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
147,"IyaÂ Aku nggak bisa bilang apa-apa ke mereka, karena mereka pasti bilang aku Âkurang bersyukurÂ atau aku ÂmelawanÂ kalau aku ngomong.",Menyatakan Perasaan Takut dan Kecemasan
148,"Iya, aku merasa seperti nggak bisa mengikuti pelajaran dengan baik. Aku sering nggak ngerti penjelasan dosen, terus akhirnya aku jadi malas untuk mendengarkan lebih lanjut. Kadang, aku merasa dosen suka menilai aku sebagai yang paling Ânggak bisaÂ di kelas, padahal ada yang lain juga sama seperti akuÂ",Menyatakan Perasaan Sedih dan Kehilangan
149,"Banget. Aku jadi ngerasa nggak pede buat jawab atau berpartisipasi, karena takut salah atau semakin dianggap bodoh",Menyatakan Perasaan Takut dan Kecemasan
150,"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan
151,"IyaÂ biasanya kalau aku merasa tertekan atau capek banget, aku mulai kepikiran buat nyakitin diri sendiri. Tapi aku nggak pernah benar-benar melakukannya, karena aku tahu itu salah",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
152,"IyaÂ jadi misalnya aku lagi di tempat umum, tiba-tiba ada orang yang lihat aku, entah itu sengaja atau nggakÂ aku langsung kepikiran, 'Apa mereka tahu tentang aku? Apa mereka ngeh sama foto itu?'. Terus aku mulai dengar suara di kepala aku bilang kalau aku nggak pantas hidup, kalau semua orang pasti bakal ngejek akuÂ",Menyatakan Perasaan Takut dan Kecemasan
153,"Kadang aku coba buat nggak dengerin, tapi rasanya susah. Aku jadi panik, jantungku berdetak cepat, tanganku dingin, dan aku cuma mau cepat-cepat pergi. Kadang aku juga cuma bisa diam, nggak bisa bergerak, tapi di dalam kepalaku rasanya berantakan banget",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
154,"IyaÂ aku takut kalau videonya viral terus ada yang ngeh sama aku. Aku takut ada yang ngomongin aku lagi, bilang kalau aku mirip sama foto ituÂ aku nggak mau orang-orang tahu masa laluku",Menyatakan Perasaan Takut dan Kecemasan
155,SudahÂ tapi aku belum berani upload. Aku takut.,Menyatakan Perasaan Takut dan Kecemasan
156,"Aku juga nggak tahu. Mungkin karena cowok lebih nggak ribet? Mereka nggak banyak basa-basi. TapiÂ aku juga kadang merasa aneh sendiri karena dulu aku trauma, tapi sekarang malah lebih nyaman dengan mereka.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
157,"Aku tuh akhir-akhir ini merasa lelah banget, Kak. Aku ikut banyak kegiatan di UKM, dan itu membuat aku susah fokus di kuliah. Aku juga mulai mengalami panic attack, dan kayakÂ aku nggak bisa ngontrol semuanya.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik
158,"Aku ikut UKM karena syarat beasiswa, Kak. Tapi sebenarnya aku juga suka kegiatan-kegiatan itu. Masalahnya, aku terlalu banyak mengambil tanggung jawab. Aku jadi wakil ketua di satu kepanitiaan, terus juga ketua di paduan suara UKMÂ semuanya jadi numpuk, dan aku nggak bisa fokus di kuliah.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
159,"Jujur aja, nilainya turun. Aku nggak bisa fokus pas kuis karena tiba-tiba dikasih tugas mendadak dari UKM. Jadi otakku tuh kayak kebagi-bagi terus.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
160,"Rasanya panik, Kak. Aku jadi nggak bisa konsentrasi, dan malah makin stres. Aku kayak nggak bisa nolak juga, karena ada ekspektasi dari senior kalau aku harus bisa handle semuanya.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
161,"Pertama kali pas aku dengar ibu bertengkar sama abangku di kos. Aku langsung ke-trigger karena dulu waktu kecil, rumah sering berantakan gara-gara pertengkaran di keluarga. Aku jadi ngerasa kayak kembali ke masa laluÂ tiba-tiba napas aku jadi berat, terus aku nggak bisa mikir jernih, semuanya ngeblank. Aku pingsan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
162,Aku mau cerita soal mantanku duluÂ Aku ngerasa kayakÂ aku nggak bisa lepas dari dia.,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
163,"Dulu, aku sama dia tuh cocok banget, Kak. Aku pikir dia orang yang bisa jadi pasangan serius buat aku. Tapi yaÂ setelah aku tahu dia selingkuh, aku jadi bingung. Aku marah, aku kecewa, tapi aku masih sayang. Aku nggak tahu harus gimanaÂ",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Marah dan Frustasi
164,"Aku kayak nggak percaya, Kak. Aku pikir, aku cukup buat dia. Aku pikir kita serius. Tapi nyatanya dia bisa dekat sama cewek lain dengan gampang.",Menyatakan Perasaan Percaya; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Marah dan Frustasi
165,"IyaÂ Aku masih sering kepo media sosialnya, kadang aku juga ketemu dia. Kami masih teman, sihÂ Tapi yaÂ aku nggak tahu ini sehat atau nggak buat aku.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
166,Aku mau cerita soal pacarku duluÂ Aku ngerasa kayakÂ aku itu nggak diprioritaskan sama dia.,Menyatakan Perasaan Sedih dan Kehilangan
167,"Dulu, awal-awal pacaran aku ngerasa diperhatikan banget. Tapi sekarang, dia jarang ngehubungin aku duluan. Kalau aku nggak chat, ya udah, dia juga nggak bakal ngehubungin. Terus kalau aku minta dijemput, dia mau sih, tapi kayakÂ ada syaratnya gitu. Kalau aku beliin dia bensin atau makanan, baru dia jemput. Kalau aku bilang aku nggak punya uang, dia tiba-tiba punya alasan buat nggak bisa ketemu.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan
168,"Aku kesel, sih. Aku ngerasa kayak aku nggak sepenting itu buat dia. Tapi aku juga bingungÂ Aku sayang sama dia, Kak, tapi aku juga capek.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Marah dan Frustasi
169,"Iya, kayak aku yang lebih effort dibanding dia. Aku pikir pacaran tuh harusnya bikin bahagia, tapi kenapa aku malah ngerasa kayak gini?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan
170,"IyaÂ Aku ngerasa mama lebih perhatian ke adikku dibanding ke aku. Waktu aku sakit beberapa bulan lalu, dokter nyaranin aku buat dirawat, tapi mama lebih pilih buat adikku aja yang dirawat di rumah sakit. Aku cuma disuruh istirahat di rumah.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
171,"Sedih banget, Kak. KayakÂ aku tuh nggak sepenting itu buat mereka. Aku juga sakit, aku juga butuh dirawat, tapi mereka lebih pilih adikku.",Menyatakan Perasaan Sedih dan Kehilangan
172,PernahÂ Aku bilang ke mama kalau aku juga butuh perhatian. Tapi dia bilang aku jangan banyak permintaan.,Menyatakan Perasaan Sedih dan Kehilangan
173,"Iya, KakÂ Makanya aku sering diem aja, aku lebih milih nggak cerita lagi ke mama soal perasaanku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
174,Aku nggak suka ada di tempat ramai. Rasanya nggak nyaman. Aku lebih suka sendiriÂ,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
175,"Dari kecil, kayaknya dari SDÂ Aku nggak suka main keluar, lebih nyaman di rumah aja.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
176,IyaÂ Di media sosial lebih gampang. Aku bisa ngobrol sama teman-temanku tanpa harus bertemu langsung.,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
177,Mereka nggak melihat aku secara langsungÂ Jadi aku nggak perlu khawatir kelihatan aneh atau gimana.,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
178,"Aku ngerasa kayak nggak ada yang benar-benar suka sama aku. Mereka pikir aku aneh karena aku pendiam, jadi aku lebih milih diem aja.",Menyatakan Perasaan Sedih dan Kehilangan
179,"Iya, mereka pasti mikir aku sombong. Tapi sebenernya aku cuma nggak tahu harus ngomong apa.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
180,"IyaÂ Aku memang ingin berbicara soal rasa takut yang sering muncul. Aku tidak tahu kenapa, tapi akhir-akhir ini aku gampang kaget dan cemas setiap saat, bahkan ketika sedang belajar di kamar.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
181,"Misalnya saat aku sedang belajar di kamar, tiba-tiba mendengar suara pintu dapur terbuka, aku langsung kaget dan merasa khawatir. Aku jadi selalu waspada seolah ada sesuatu yang buruk akan terjadi.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
182,"KayakÂ aku takut ketahuan sesuatu. Padahal aku nggak melakukan hal yang salah. Tapi ada rasa seperti dihantui sesuatu, kayak perasaan bersalah yang tidak hilang.",Menyatakan Perasaan Takut dan Kecemasan
183,"Mungkin sejak kejadian waktu SMA. Waktu itu, keluargaku melakukan ritual komunikasi dengan eyang yang katanya merasuki tubuh tanteku. Tiba-tiba, eyang bilang kalau kakakku sudah melakukan hal yang tidak senonoh dengan pacarnya. Aku benar-benar kagetÂ dan tambah takut karena ibu mendukung pernyataan itu.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
184,"kutÂ Aku takut kalau tiba-tiba aku juga ÂketahuanÂ. Aku tahu aku tidak melakukan hal sejauh kakakku, tapi pacarku dulu memang agak agresif mendekatiku. Aku berusaha menjaga batas, tapi tetap saja, aku takut tiba-tiba disebut melakukan sesuatu yang tidak benar. Aku nggak mau dipermalukan seperti kakakku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
