Perasaan Benci dan Jijik,Perasaan Percaya,Rasa Syukur dan Apresiasi,Perasaan Sedih dan Kehilangan,Reaksi Terkejut dan Tidak Terduga,Perasaan Takut dan Kecemasan,Perasaan Marah dan Frustasi,Perasaan Sebelum Menghadapi Kejadian
,,,"Aku jadi wakil ketua di satu kepanitiaan, terus juga ketua di paduan suara UKM",,,,
,,,"semuanya jadi numpuk, dan aku nggak bisa fokus di kuliah.",,,,
,,,"Jujur aja, nilainya turun. ",Aku nggak bisa fokus pas kuis karena tiba-tiba dikasih tugas mendadak dari UKM. ,Jadi otakku tuh kayak kebagi-bagi terus.,,
,,,"Aku jadi nggak bisa konsentrasi, ",karena ada ekspektasi dari senior kalau aku harus bisa handle semuanya.,"Rasanya panik, Kak",malah makin stres,
,,,,,"Aku kayak nggak bisa nolak juga, ",,
,,,Aku jadi ngerasa kayak kembali ke masa lalu,,Pertama kali pas aku dengar ibu bertengkar sama abangku di kos. ,,
,,,,,"Aku langsung ke-trigger karena dulu waktu kecil, rumah sering berantakan gara-gara pertengkaran di keluarga. ",,
,,,,,"tiba-tiba napas aku jadi berat, terus aku nggak bisa mikir jernih, semuanya ngeblank. Aku pingsan.",,
,,,Aku mau cerita soal mantanku dulu,,Aku ngerasa kayak… aku nggak bisa lepas dari dia.,,
 aku kecewa,,,"Dulu, aku sama dia tuh cocok banget, Kak. ","Tapi ya… setelah aku tahu dia selingkuh, aku jadi bingung. ",,Aku marah,
,,,Aku pikir dia orang yang bisa jadi pasangan serius buat aku. ,Aku nggak tahu harus gimana…,,,
,,,api aku masih sayang,,,,
,"Aku pikir, aku cukup buat dia. ",,,"Aku kayak nggak percaya, Kak. ",,Tapi nyatanya dia bisa dekat sama cewek lain dengan gampang.,
,Aku pikir kita serius. ,,,,,,
,"Kami masih teman, sih… ",kadang aku juga ketemu dia. ,Iya… Aku masih sering kepo media sosialnya,,Tapi ya… aku nggak tahu ini sehat atau nggak buat aku.,,
,,,Aku mau cerita soal pacarku dulu… ,,,,
,,,Aku ngerasa kayak… aku itu nggak diprioritaskan sama dia.,,,,
,,"Dulu, awal-awal pacaran aku ngerasa diperhatikan banget. ","Tapi sekarang, dia jarang ngehubungin aku duluan. ",,,,
,,"Terus kalau aku minta dijemput, dia mau sih","Kalau aku nggak chat, ya udah, dia juga nggak bakal ngehubungin. ",,,,
,,,tapi kayak… ada syaratnya gitu. ,,,,
,,,"Kalau aku beliin dia bensin atau makanan, baru dia jemput. ",,,,
,,,"Kalau aku bilang aku nggak punya uang, dia tiba-tiba punya alasan buat nggak bisa ketemu.",,,,
,"Aku sayang sama dia, Kak",,Aku ngerasa kayak aku nggak sepenting itu buat dia. ,Tapi aku juga bingung… ,,"Aku kesel, sih",
,,,tapi aku juga capek.,,,,
,Aku pikir pacaran tuh harusnya bikin bahagia,,"Iya, kayak aku yang lebih effort dibanding dia. ",,,,
,,, tapi kenapa aku malah ngerasa kayak gini?,,,,
,,,Iya… Aku ngerasa mama lebih perhatian ke adikku dibanding ke aku,Aku cuma disuruh istirahat di rumah.,"Waktu aku sakit beberapa bulan lalu, dokter nyaranin aku buat dirawat",,
,,,tapi mama lebih pilih buat adikku aja yang dirawat di rumah sakit,,,,
,,,"Sedih banget, Kak. ",,,,
,,,Kayak… aku tuh nggak sepenting itu buat mereka. ,,,,
,,,"Aku juga sakit, aku juga butuh dirawat",,,,
,,,tapi mereka lebih pilih adikku.,,,,
,,,Aku bilang ke mama kalau aku juga butuh perhatian. ,,,,
,,,Tapi dia bilang aku jangan banyak permintaan.,,,,
aku lebih milih nggak cerita lagi ke mama soal perasaanku.,,,Makanya aku sering diem aja,,,,
Aku nggak suka ada di tempat ramai. ,,,Aku lebih suka sendiri…,,,,
Rasanya nggak nyaman. ,,,,,,,
Aku nggak suka main keluar,,,lebih nyaman di rumah aja.,,,,
,,Iya… Di media sosial lebih gampang. ,,,,,Aku bisa ngobrol sama teman-temanku tanpa harus bertemu langsung.
,,,,,Mereka nggak melihat aku secara langsung…,,Jadi aku nggak perlu khawatir kelihatan aneh atau gimana.
,,,Aku ngerasa kayak nggak ada yang benar-benar suka sama aku. ,,,,
,,,Mereka pikir aku aneh karena aku pendiam,,,,
,,,jadi aku lebih milih diem aja.,,,,
,,,"Iya, mereka pasti mikir aku sombong.",,Tapi sebenernya aku cuma nggak tahu harus ngomong apa.,,
,,,,,"Aku tidak tahu kenapa, tapi akhir-akhir ini aku gampang kaget dan cemas setiap saat",,Iya… Aku memang ingin berbicara soal rasa takut yang sering muncul. 
,,,,,bahkan ketika sedang belajar di kamar.,,
kayak perasaan bersalah yang tidak hilang.,,,,"Misalnya saat aku sedang belajar di kamar, tiba-tiba mendengar suara pintu dapur terbuka",dan merasa khawatir. ,,Aku jadi selalu waspada seolah ada sesuatu yang buruk akan terjadi.
,,,,aku langsung kaget ,,,
,,,,,Kayak… aku takut ketahuan sesuatu. ,,
,,,,"Waktu itu, keluargaku melakukan ritual komunikasi dengan eyang yang katanya merasuki tubuh tanteku. ",,,
,,,,"Tiba-tiba, eyang bilang kalau kakakku sudah melakukan hal yang tidak senonoh dengan pacarnya. ",,,
Aku nggak mau dipermalukan seperti kakakku.,Aku tahu aku tidak melakukan hal sejauh kakakku,,,,Aku takut kalau tiba-tiba aku juga ‘ketahuan’. ,,Aku berusaha menjaga batas
,,,,,tapi pacarku dulu memang agak agresif mendekatiku,,
,,,,,"tapi tetap saja, aku takut tiba-tiba disebut melakukan sesuatu yang tidak benar. ",,
,,,padahal aku nggak ngapa-ngapain.,,"Iya, aku takut banget… ",,
,,,,,Setiap hari rasanya seperti ada yang mengawasi dan menilai aku,,
,Aku tahu ini mungkin sepele,,Aku merasa ibu tidak pernah memahami aku. ,,,,"Selain itu, pernah juga saat ada diskusi keluarga tentang liburan, aku ingin ke Taman Safari karena belum pernah lihat binatang secara langsung."
,,,"Misalnya, waktu aku minta dijemput karena capek kuliah, ibu tetap nyuruh aku pulang naik ojek sendiri. ",,,,
,,,tapi rasanya kayak aku harus selalu mandiri dan nggak boleh mengeluh. ,,,,
,,,Tapi ibu bersikeras memilih Dufan dengan alasan ‘aku dulu pernah bilang ingin ke Dufan’. ,,,,
,,,"Aku mencoba menjelaskan, tapi malah ibu diam dan mendiamkan aku selama empat hari.",,,,
,,,sedih,merasa nggak dihargai… ,,"Kesel, ",
,,,Aku sering merasa seperti disalahkan hanya karena aku anak tengah,Aku merasa suara dan keinginanku tidak dianggap penting.,,,
,,,"Aku merasa sulit berteman, ",,,sulit dihargai,
,,,juga merasa kesulitan dalam belajar sejak awal kuliah. ,,,,
,,,"Dulu waktu sekolah, ujian hanya ada UTS dan UAS",awalnya aku merasa kaget dengan sistem belajar di kuliah,,,
,,,Aku jadi kewalahan di awal semester karena harus cepat beradaptasi.,"Tapi di kuliah, setiap selesai satu blok materi, langsung ada ujian. ",,,
,,"Setelah masuk semester kedua, aku sudah mulai terbiasa dan bisa mengikuti materi lebih baik.",,,,,Aku mulai bikin to-do list dan mengatur waktu belajar. 
,,"Sejauh ini cukup membantu, ",,,,,tapi aku masih ingin tahu apakah ada cara lain yang bisa lebih efektif.
"Tapi kalau menurutku mereka hanya menjadi beban, aku tidak terlalu tertarik untuk berteman dengan mereka.",,,Aku merasa sulit menemukan teman yang satu frekuensi denganku. ,,,,Aku lebih suka berteman dengan orang yang ada manfaatnya buatku. 
,,,,,,,"Kalau mereka pintar di bidang yang aku kurang, aku bisa belajar dari mereka. "
Aku juga sulit berempati kalau mereka cerita soal pacar atau masalah pribadi.,,,"Kayaknya aku dianggap kurang asik, kurang bisa diajak ngobrol hal-hal santai seperti soal perasaan atau kehidupan pribadi. ",,,,
,,,Dulu teman-temanku bilang aku nggak asik karena nggak bisa diajak ngobrol soal pacaran atau hal-hal emosional. ,,,,"Dari situ, aku mulai menjauhi mereka dan hanya berteman dengan yang menurutku ‘berguna’ buatku."
jadi sejak kecil aku selalu disuruh rebonding. ,,,"Sejak kecil, aku merasa tidak ada yang spesial dalam diriku. ",,,,
"Sampai sekarang, aku merasa tidak nyaman dengan rambutku sendiri.",,,Orang tuaku sering bilang aku tidak cantik. ,,,,
,,,"Rambutku mengembang dan keriting, ibuku tidak suka, ",,,,
,,,Aku merasa tidak berharga karena dari kecil aku dianggap ‘kurang’ oleh keluargaku sendiri.,,,,
"Ya, aku memang agak terganggu. ",,,,,"Saat orientasi kemarin, ada beberapa momen di mana aku merasa ditegur dengan nada yang keras",,
,,,,,itu bikin aku langsung tegang. ,,
,Aku tahu maksudnya baik,,tapi tetap saja aku merasa sulit.,,Seperti ada sesuatu yang langsung menghantam dadaku… ,,
,,,,,"Aku merasa seperti kembali ke masa-masa dulu, ketika ayah sering menegurku dengan keras. ",,
,,,,," Dulu, kalau aku melakukan sesuatu yang tidak sesuai dengan harapan orang tua, terutama ayah, aku bisa ditegur habis-habisan. ",,
,"Aku tahu sebagai anak pertama aku harus jadi contoh, harus bisa memenuhi ekspektasi keluarga. ",,Iya… Dulu aku merasa gagal terus di mata ayah. ,,"Apalagi ayah praktisi hukum, jadi dia ingin aku serius di bidang ini.",Ada masa di mana aku melakukan banyak hal yang dia tidak setujui,
,,,itu membuat hubungan kami memburuk. ,,,,
,,"Tapi lama-lama, aku mulai merasa tertarik juga. ",,Awalnya… aku rasa karena ayah. ,,,Aku ingin membuktikan bahwa aku bisa berhasil dan bisa membuatnya bangga. 
,,"Aku sering diskusi dengan ayah soal hukum sekarang, dan itu membuat hubungan kami membaik. ",,,,,
,,,,,"Iya… Kadang aku takut kalau aku gagal, ",,Aku nggak mau mengecewakan dia lagi seperti dulu
,,,,,ayah bakal kecewa lagi. ,,
,,,Mungkin lebih ke perasaan dalam diriku sendiri… ,,,,Aku hanya ingin memastikan kalau aku bisa melakukan yang terbaik.
,,,Segalanya terasa berat.,,,,
,,,"Aku tidak bisa menyelesaikan tugas-tugasku dengan baik, ",,,,
,,,"aku selalu menunda pekerjaan, dan semakin lama semakin banyak yang tertumpuk. ",,,,
,,,Aku juga sadar kalau teman-temanku sudah mulai kesal karena aku kurang bisa berkontribusi dalam tugas kelompok.,,,,
"Kadang aku malah bermain handphone, membaca novel, atau tiba-tiba aku merasa mengantuk dan memilih tidur. ",,,"Aku mulai mengerjakan tugas, lalu entah bagaimana aku malah terdistraksi. ",,"Saat sadar sudah larut malam, aku panik dan buru-buru mengerjakan, tapi tetap tidak selesai.",,
,Aku tahu ini salahku,,Aku merasa sangat bersalah… ,,tapi aku tidak bisa mengendalikan diri.,,Aku hanya ingin berhenti merasa seperti ini.
tapi aku tetap mengulangi kesalahan yang sama.,,,Mereka mulai mengeluh kalau aku kurang berkontribusi. ,,Beberapa dari mereka mencoba mengingatkanku soal tugas,,
,,,tapi aku tetap tidak bisa mengerjakan dengan baik. ,,,,
,,,"Aku minta maaf, ",,,,
Aku merasa semakin buruk. ,,,,,Aku juga sering berbohong untuk menghindari masalah… ,,Aku bilang ke guru kalau aku sudah mengumpulkan tugas tapi gurunya yang lupa
,,,,,,,aku meyakinkan ibu bahwa tugas sudah selesai padahal tidak.
Aku benci kalau orang marah padaku… ,,,,,Aku takut dimarahi. ,,
,,,,,"Aku pernah ketahuan berbohong dan akibatnya malah lebih parah, ",,
,,,,,,Tapi saya merasa sulit untuk mengontrol perasaan saya.,
,,,,,,"Saya belum tahu, Kak. Kadang saya ingin tetap bersama, tapi kadang saya berpikir mungkin lebih baik sendiri.",
,,,,,,tapi masih agak sulit fokus,
,,,,,,,"Saya mencoba menenangkan diri dengan mengatakan ‘It’s okay, ini cuma sebentar, pasti bisa kok’. "
,,,,,,,Tapi tetap saja saya masih merasa cemas.
,,mereka justru berusaha memahami saya dan sering memberi motivasi supaya saya lebih tenang.,,,,,
,Saya masih bisa mengendalikannya dan saya juga bisa mengabaikannya jika saya tidak ingin berbicara dengannya.,,,,,,
,,,Saya sering merasa bahwa pencapaian saya tidak sebesar teman-teman saya. ,"Saya melihat mereka bisa mengatur waktu dengan baik, selalu aktif di kelas, dan sepertinya tidak terlalu kesulitan menghadapi kuliah.",,, Saya takut tidak bisa berperan dengan baik dalam kehidupan saya sendiri.
,Mungkin saya memang terlalu fokus pada kelemahan saya sendiri…,,,,,,
,"Iya, mereka selalu ingin saya menjadi kuat. ",,,,,"Saya tidak ingin mengecewakan mereka, jadi saya hanya memendam semuanya.",
,,,,Saya tidak pernah melihatnya dari sudut pandang itu sebelumnya.,,,
Saya tidak ingin membicarakan terlalu banyak tentang itu,,,Saya hanya merasa malu. ,,,,
Saya biasanya hanya menyalahkan diri sendiri.,,,Itu adalah masa yang sangat buruk bagi saya.,,,,
,Saya tahu saya harus bisa menerima masa lalu,,Kadang saya merasa ingin melupakan semuanya,,tapi di sisi lain saya takut orang lain akan terus mengingatnya.,,
,,,,Saya diminta membuat video perkenalan di TikTok. ,tapi saya takut untuk mengunggahnya. ,, Saya sudah membuatnya
,,,,,Saya khawatir kalau ada yang melihatnya dan mengenali saya dari foto yang dulu tersebar.,,
,mungkin saya akan merasa lebih lega. ,,Saya tidak tahu... ,, Tapi saya juga takut kalau ada yang mengomentari sesuatu yang menyakitkan,,
"Sejujurnya, saya tidak merasa bersalah. ",,,,,Saya lebih takut kalau teman-teman saya akan menilai saya buruk setelah kejadian itu.,,
,,,,"Mungkin ada, tapi saya belum tahu caranya. ",Saya sering merasa kalau saya tidak bisa mengendalikan reaksi saya ketika marah.,,
,,"Di semester 1 saya hanya mendapat nilai 16 untuk mata kuliah itu, tapi di semester 2 saya sudah berusaha lebih keras dan nilainya naik jadi 50","Begitu masuk kuliah, saya kesulitan mengikuti mata kuliah yang penuh dengan hitungan seperti rangkaian listrik. ",,,,
,,,"Saya juga mencoba mengulang materi sendiri, tapi tetap terasa sulit bagi saya.",,,,Saya banyak bertanya kepada teman-teman yang lebih paham. 
,,,,,tapi saya ragu apakah saya masih bisa melanjutkan kuliah.,,Saya sebenarnya ingin mengikuti kelas tambahan atau bimbingan belajar
,,,,,,,Saya ingin mencari pekerjaan yang masih berhubungan dengan bidang teknik atau pekerjaan yang bisa membantu saya menabung. 
,,,,,,,"Kalau bisa, saya ingin bekerja di Maranatha, mungkin sebagai asisten laboratorium atau posisi lain yang memungkinkan."
,,,Ayah saya pernah bilang bahwa saya ini aneh,,,,
,,,bahwa saya merasakan hal yang tidak wajar.,,,,
,,,"Ketika saya melihat teman-teman yang bisa bermain bersama, tapi saya tidak pernah diajak. ",,Biasanya muncul saat saya merasa sendirian. ,Rasanya saya tidak dibutuhkan dan tidak ada yang peduli jika saya ada atau tidak.,
,,,"Tapi seperti yang saya bilang, dia malah memarahi saya",,,,
,,,"Saya ingin punya teman, tapi saya tidak tahu bagaimana memulainya.",,,,
,,,,,Tapi saya takut mereka tidak akan peduli dengan saya.,,
,,"Saya sebenarnya suka bahasa Mandarin dan budaya Cina, makanya saya mengambil program ini.",,,,,
,,Saya ingin punya teman yang bisa mengerti saya.,,,,,
,,,,,"Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",,
,"Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.",,Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. ,,,,
,Saya mengerti. Saya akan coba perlahan.,,,,,,
,,,Tapi bagaimana caranya? ,,,Saya masih merasa marah dan kecewa.,
,,,,,Tapi saya tidak tahu bagaimana cara mengekspresikannya dengan benar.,,
,,,"Pernah, tapi saya tidak begitu paham bagaimana cara melakukannya.",,,,
,,,,,"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.",,
,"Baik, saya akan mencoba. Tapi mungkin saya butuh latihan dulu.",,,,,,
,,,,,"Saya takut kalau saya memaksa, saya akan dianggap membangkang atau tidak menghormati dosen.",,
,,,Orang tua saya tidak akan senang kalau saya pergi ke psikiater. ,,Nenek saya dulu ke psikiater dan selalu diberi obat dalam jumlah banyak. Akhirnya dia malah terkena diabetes. ,,Orang tua saya tidak ingin hal itu terjadi pada saya.
,,,,,,,Saya tidak mau ada orang lain yang tahu soal ini.
,"Oke, saya akan coba.",,,,,,
,,,,,,,saya ingin tinggal hanya dengan ibu
,,,,,,,"Saya merasa lebih bisa bercerita kepadanya, meskipun kami juga sering bertengkar."
"Tidak, saya tidak mau ke psikiater. ",,,,,,,
Saya tidak mau minum obat seperti nenek saya dulu.,,,,,,,
,Tapi orang tua saya tidak akan setuju,,,,,,
,,,"Tapi karena aku belum punya teman dekat di kampus, aku lebih banyak belajar sendiri.",,,,Aku sebenarnya lebih bisa memahami materi jika belajar bersama. 
,,Aku bisa cerita banyak hal tanpa merasa takut dihakimi.,,,,,
,,,,,"Kalau aku ketahuan pacaran, ikut organisasi, atau melakukan hal di luar akademik, pasti langsung dimarahi.",,Biasanya kalau aku ketahuan melanggar aturan yang ibuku buat. 
,,,,,"Maaf, Kak, ibuku marah besar. ",,
,,,,,Aku harus pulang sekarang.,,
,"Mungkin aku harus coba, ya?",,,,,,
,,,,,,,Aku mau… tapi aku nggak tahu gimana caranya.
,,,,,Aku mau… tapi aku takut.,,
,,,Aku ngerasa nggak punya tempat di sana. ,,Mungkin karena aku merasa mereka lebih kompetitif? ,,
,,,,,"Aku takut kalau aku berusaha lebih keras, aku malah dinilai sok atau jadi saingan mereka.",,
,tapi aku mau coba kalau itu bisa membantu.,,,Aku belum pernah coba,,,
,,,,,Aku jadi takut kalau kejadian itu bakal terulang lagi.,,
,,,"Kayaknya lebih banyak negatifnya, Kak. ",,,,"Aku jadi overthinking terus. Kayak… dia masih peduli nggak, ya? Atau aku cuma jadi cadangan buat dia?"
,,,"Sebagian besar sih karena mantanku, tapi ada juga karena kuliah. ",,"Aku jadi nggak fokus, Kak. ",,
,,,,,,,Tapi aku juga nggak tahu harus gimana.
,Aku suka nulis… ,,,,"Tapi kadang kalau aku udah terlalu sedih, aku malah nyakitin diri sendiri.",,
,,,,,,Itu masuk akal. Saya memang sering merasa seperti membeku saat dimarahi,
,,,,,,"Iya, saya pikir itu satu-satunya cara agar saya bisa membantu keluarga dan tidak terlalu membebani mereka.",
,,,,,,,"Itu masuk akal, Kak. Saya memang selalu berpikir bahwa saya akan dipermalukan, padahal kenyataannya teman-teman saya baik-baik saja."
,,,,,"Oke, Kak.",,
,,,,,,"Iya… aku tahu ini nggak baik, tapi selalu aja kejadian kayak gini.",
,,,,,,Biasanya saat aku sendirian… atau saat aku merasa sangat stres. Terutama kalau aku sedang diperlakukan tidak adil oleh orang tua atau saat aku diingatkan tentang masa lalu.,
,,,,,,"Ada, aku nggak suka pelajaran yang terlalu banyak hitung-hitungan atau yang harus ngapalin rumus-rumus. Kalau mata kuliah itu, aku langsung kehilangan semangat buat belajar.",
,,,,,,Kayaknya bisa dicoba… tapi aku takut kalau mereka nggak nerima aku.,
,,,,,,Nggak… biasanya aku cuma menyendiri aja sampai perasaannya hilang sendiri.,
,,,,,,,"Wah… ternyata ini lumayan membantu, ya."
,,,,,,"Belum sih… Aku biasanya malah tenggelam di media sosial, stalking dia atau nge-scroll tanpa tujuan.",
,,,,,,,"Wow… aku jadi lebih tenang, Kak."
,,,,,,tapi kadang aku masih ragu untuk cerita lebih banyak,"Iya mereka baik. Aku merasa nyaman,"
,,,,,,"Aku tidak yakin bisa melakukannya. Aku merasa kalau aku menurunkan standar, aku akan ikut menjadi seperti mereka.",
,,,,,,Tapi aku masih merasa sulit untuk benar-benar mengubah cara pandangku,
,,,,,,tapi saya masih kesulitan fokus,
,,,,,,,Saya merasa lebih nyaman. Saya paling suka gerakan menyentuh dada dengan lembut dan memeluk dikir sendiri.
,,,,,,,Saya merasa lebih tenang setelah melakukan ini.
,,,,,,,"Saya merasa lebih tenang setelah mencoba ini, Kak,"
,,,,,,,"Iya, itu benar. Saya memang menikmati perkuliahan, walaupun saya masih beradaptasi."
,,,,,,,Saya merasa lebih tenang setelah mencoba ini.
,,,,,,,"Saya suka latihan ini, Kak. Saya merasa lebih baik setelah mengatakannya."
,Saya akan mencobanya jika merasa marah lagi.,,,,,,
,,,"Saya tidak ingin terus menyimpan dendam, tapi saya juga tidak mau berhubungan lagi dengannya.",,,,
,tapi tetap menyampaikan apa yang saya inginkan ya?,,,,,,"Itu terdengar lebih sopan, "
,"Itu bisa dicoba, Kak. ",,,,Tapi aku takut orang-orang sudah punya kelompoknya masing-masing.,,
,Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.,,,,,,"Aku akan coba lebih aktif berbicara, Kak."
